driverId,driverNumber,code,firstName,lastName,dateOfBirth,nationality,url,Headshot,Championships,Wins,Podiums,Points,Entries,AllPositions,SeasonResults,QualifyingPerformance,RacePace,TeamName,TeamColour
albon,23,ALB,Alexander,Albon,1996-03-23,Thai,http://en.wikipedia.org/wiki/Alexander_Albon,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/A/ALEALB01_Alexander_Albon/alealb01.png.transform/1col/image.png,0.0,0.0,2.0,310.0,122.0,"['1&5', '2&6', '3&7', '4&8', '5&8', '6&8', '7&8', '8&8', '9&8', '10&8', '11&8', '12&8', '13&8', '14&8', '15&8', '16&7']","[{'country': 'Australia', 'racePosition': '5', 'qualiPosition': '6', 'round': 1}, {'country': 'China', 'racePosition': '7', 'qualiPosition': '10', 'round': 2}, {'country': 'Japan', 'racePosition': '9', 'qualiPosition': '9', 'round': 3}, {'country': 'Bahrain', 'racePosition': '12', 'qualiPosition': '15', 'round': 4}, {'country': 'Saudi Arabia', 'racePosition': '9', 'qualiPosition': '11', 'round': 5}, {'country': 'USA', 'racePosition': '5', 'qualiPosition': '7', 'round': 6}, {'country': 'Italy', 'racePosition': '5', 'qualiPosition': '7', 'round': 7}, {'country': 'Monaco', 'racePosition': '9', 'qualiPosition': '10', 'round': 8}, {'country': 'Spain', 'racePosition': '20', 'qualiPosition': '11', 'round': 9}, {'country': 'Canada', 'racePosition': '20', 'qualiPosition': '10', 'round': 10}, {'country': 'Austria', 'racePosition': '20', 'qualiPosition': '12', 'round': 11}, {'country': 'UK', 'racePosition': '8', 'qualiPosition': '14', 'round': 12}, {'country': 'Belgium', 'racePosition': '6', 'qualiPosition': '5', 'round': 13}, {'country': 'Hungary', 'racePosition': '15', 'qualiPosition': '20', 'round': 14}, {'country': 'Netherlands', 'racePosition': '5', 'qualiPosition': '15', 'round': 15}, {'country': 'Italy', 'racePosition': '7', 'qualiPosition': '14', 'round': 16}]",-1.01,-0.74,Williams,1868DB
alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish,http://en.wikipedia.org/wiki/Fernando_Alonso,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/F/FERALO01_Fernando_Alonso/feralo01.png.transform/1col/image.png,2.0,32.0,106.0,2367.0,420.0,"['1&17', '2&20', '3&17', '4&17', '5&17', '6&17', '7&17', '8&18', '9&18', '10&16', '11&13', '12&14', '13&15', '14&11', '15&12', '16&12']","[{'country': 'Australia', 'racePosition': '20', 'qualiPosition': '12', 'round': 1}, {'country': 'China', 'racePosition': '20', 'qualiPosition': '13', 'round': 2}, {'country': 'Japan', 'racePosition': '11', 'qualiPosition': '13', 'round': 3}, {'country': 'Bahrain', 'racePosition': '15', 'qualiPosition': '13', 'round': 4}, {'country': 'Saudi Arabia', 'racePosition': '11', 'qualiPosition': '13', 'round': 5}, {'country': 'USA', 'racePosition': '15', 'qualiPosition': '17', 'round': 6}, {'country': 'Italy', 'racePosition': '11', 'qualiPosition': '5', 'round': 7}, {'country': 'Monaco', 'racePosition': '20', 'qualiPosition': '7', 'round': 8}, {'country': 'Spain', 'racePosition': '9', 'qualiPosition': '10', 'round': 9}, {'country': 'Canada', 'racePosition': '7', 'qualiPosition': '6', 'round': 10}, {'country': 'Austria', 'racePosition': '7', 'qualiPosition': '11', 'round': 11}, {'country': 'UK', 'racePosition': '9', 'qualiPosition': '9', 'round': 12}, {'country': 'Belgium', 'racePosition': '17', 'qualiPosition': '19', 'round': 13}, {'country': 'Hungary', 'racePosition': '5', 'qualiPosition': '5', 'round': 14}, {'country': 'Netherlands', 'racePosition': '8', 'qualiPosition': '10', 'round': 15}, {'country': 'Italy', 'racePosition': '20', 'qualiPosition': '9', 'round': 16}]",1.32,-1.03,Aston Martin,229971
antonelli,12,ANT,Andrea Kimi,Antonelli,2006-08-25,Italian,https://en.wikipedia.org/wiki/Andrea_Kimi_Antonelli,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/A/ANDANT01_Andrea%20Kimi_Antonelli/andant01.png.transform/1col/image.png,0.0,0.0,1.0,66.0,16.0,"['1&4', '2&5', '3&5', '4&6', '5&6', '6&6', '7&7', '8&7', '9&7', '10&7', '11&7', '12&7', '13&7', '14&7', '15&7', '16&8']","[{'country': 'Australia', 'racePosition': '4', 'qualiPosition': '16', 'round': 1}, {'country': 'China', 'racePosition': '6', 'qualiPosition': '8', 'round': 2}, {'country': 'Japan', 'racePosition': '6', 'qualiPosition': '6', 'round': 3}, {'country': 'Bahrain', 'racePosition': '11', 'qualiPosition': '4', 'round': 4}, {'country': 'Saudi Arabia', 'racePosition': '6', 'qualiPosition': '5', 'round': 5}, {'country': 'USA', 'racePosition': '6', 'qualiPosition': '3', 'round': 6}, {'country': 'Italy', 'racePosition': '20', 'qualiPosition': '13', 'round': 7}, {'country': 'Monaco', 'racePosition': '18', 'qualiPosition': '15', 'round': 8}, {'country': 'Spain', 'racePosition': '20', 'qualiPosition': '6', 'round': 9}, {'country': 'Canada', 'racePosition': '3', 'qualiPosition': '4', 'round': 10}, {'country': 'Austria', 'racePosition': '20', 'qualiPosition': '9', 'round': 11}, {'country': 'UK', 'racePosition': '20', 'qualiPosition': '7', 'round': 12}, {'country': 'Belgium', 'racePosition': '16', 'qualiPosition': '18', 'round': 13}, {'country': 'Hungary', 'racePosition': '10', 'qualiPosition': '15', 'round': 14}, {'country': 'Netherlands', 'racePosition': '16', 'qualiPosition': '11', 'round': 15}, {'country': 'Italy', 'racePosition': '9', 'qualiPosition': '7', 'round': 16}]",-1.87,-3.51,Mercedes,00D7B6
bearman,87,BEA,Oliver,Bearman,2005-05-08,British,http://en.wikipedia.org/wiki/Oliver_Bearman,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/O/OLIBEA01_Oliver_Bearman/olibea01.png.transform/1col/image.png,0.0,0.0,0.0,23.0,19.0,"['1&14', '2&12', '3&12', '4&13', '5&13', '6&15', '7&16', '8&16', '9&16', '10&17', '11&18', '12&18', '13&18', '14&19', '15&16', '16&17']","[{'country': 'Australia', 'racePosition': '14', 'qualiPosition': '20', 'round': 1}, {'country': 'China', 'racePosition': '8', 'qualiPosition': '17', 'round': 2}, {'country': 'Japan', 'racePosition': '10', 'qualiPosition': '10', 'round': 3}, {'country': 'Bahrain', 'racePosition': '10', 'qualiPosition': '20', 'round': 4}, {'country': 'Saudi Arabia', 'racePosition': '13', 'qualiPosition': '15', 'round': 5}, {'country': 'USA', 'racePosition': '20', 'qualiPosition': '20', 'round': 6}, {'country': 'Italy', 'racePosition': '17', 'qualiPosition': '19', 'round': 7}, {'country': 'Monaco', 'racePosition': '12', 'qualiPosition': '17', 'round': 8}, {'country': 'Spain', 'racePosition': '17', 'qualiPosition': '15', 'round': 9}, {'country': 'Canada', 'racePosition': '11', 'qualiPosition': '14', 'round': 10}, {'country': 'Austria', 'racePosition': '11', 'qualiPosition': '15', 'round': 11}, {'country': 'UK', 'racePosition': '11', 'qualiPosition': '8', 'round': 12}, {'country': 'Belgium', 'racePosition': '11', 'qualiPosition': '12', 'round': 13}, {'country': 'Hungary', 'racePosition': '20', 'qualiPosition': '11', 'round': 14}, {'country': 'Netherlands', 'racePosition': '6', 'qualiPosition': '19', 'round': 15}, {'country': 'Italy', 'racePosition': '12', 'qualiPosition': '11', 'round': 16}]",-1.5,-1.25,Haas F1 Team,9C9FA2
bortoleto,5,BOR,Gabriel,Bortoleto,2004-10-14,Brazilian,https://en.wikipedia.org/wiki/Gabriel_Bortoleto,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/G/GABBOR01_Gabriel_Bortoleto/gabbor01.png.transform/1col/image.png,0.0,0.0,0.0,18.0,16.0,"['1&16', '2&19', '3&20', '4&20', '5&20', '6&20', '7&20', '8&21', '9&19', '10&19', '11&19', '12&19', '13&19', '14&17', '15&18', '16&16']","[{'country': 'Australia', 'racePosition': '20', 'qualiPosition': '15', 'round': 1}, {'country': 'China', 'racePosition': '14', 'qualiPosition': '19', 'round': 2}, {'country': 'Japan', 'racePosition': '19', 'qualiPosition': '17', 'round': 3}, {'country': 'Bahrain', 'racePosition': '18', 'qualiPosition': '18', 'round': 4}, {'country': 'Saudi Arabia', 'racePosition': '18', 'qualiPosition': '20', 'round': 5}, {'country': 'USA', 'racePosition': '20', 'qualiPosition': '13', 'round': 6}, {'country': 'Italy', 'racePosition': '18', 'qualiPosition': '14', 'round': 7}, {'country': 'Monaco', 'racePosition': '14', 'qualiPosition': '16', 'round': 8}, {'country': 'Spain', 'racePosition': '12', 'qualiPosition': '12', 'round': 9}, {'country': 'Canada', 'racePosition': '14', 'qualiPosition': '16', 'round': 10}, {'country': 'Austria', 'racePosition': '8', 'qualiPosition': '8', 'round': 11}, {'country': 'UK', 'racePosition': '20', 'qualiPosition': '17', 'round': 12}, {'country': 'Belgium', 'racePosition': '9', 'qualiPosition': '10', 'round': 13}, {'country': 'Hungary', 'racePosition': '6', 'qualiPosition': '7', 'round': 14}, {'country': 'Netherlands', 'racePosition': '15', 'qualiPosition': '13', 'round': 15}, {'country': 'Italy', 'racePosition': '8', 'qualiPosition': '8', 'round': 16}]",0.09,-1.38,Kick Sauber,01C00E
colapinto,43,COL,Franco,Colapinto,2003-05-27,Argentine,http://en.wikipedia.org/wiki/Franco_Colapinto,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/,0.0,0.0,0.0,5.0,19.0,"['7&21', '8&20', '9&21', '10&20', '11&20', '12&20', '13&20', '14&20', '15&20', '16&20']","[{'country': 'Italy', 'racePosition': '16', 'qualiPosition': '15', 'round': 7}, {'country': 'Monaco', 'racePosition': '13', 'qualiPosition': '20', 'round': 8}, {'country': 'Spain', 'racePosition': '15', 'qualiPosition': '19', 'round': 9}, {'country': 'Canada', 'racePosition': '13', 'qualiPosition': '12', 'round': 10}, {'country': 'Austria', 'racePosition': '15', 'qualiPosition': '14', 'round': 11}, {'country': 'UK', 'racePosition': '20', 'qualiPosition': '20', 'round': 12}, {'country': 'Belgium', 'racePosition': '19', 'qualiPosition': '17', 'round': 13}, {'country': 'Hungary', 'racePosition': '18', 'qualiPosition': '14', 'round': 14}, {'country': 'Netherlands', 'racePosition': '11', 'qualiPosition': '16', 'round': 15}, {'country': 'Italy', 'racePosition': '17', 'qualiPosition': '18', 'round': 16}]",-0.25,-1.4,Alpine,00A1E8
doohan,7,DOO,Jack,Doohan,2003-01-20,Australian,http://en.wikipedia.org/wiki/Jack_Doohan,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/J/JACDOO01_Jack_Doohan/jacdoo01.png.transform/1col/image.png,0.0,0.0,0.0,0.0,7.0,"['1&19', '2&18', '3&19', '4&19', '5&19', '6&19', '7&19', '8&19', '9&20', '10&21', '11&21', '12&21', '13&21', '14&21', '15&21', '16&21']","[{'country': 'Australia', 'racePosition': '20', 'qualiPosition': '14', 'round': 1}, {'country': 'China', 'racePosition': '13', 'qualiPosition': '18', 'round': 2}, {'country': 'Japan', 'racePosition': '15', 'qualiPosition': '19', 'round': 3}, {'country': 'Bahrain', 'racePosition': '14', 'qualiPosition': '11', 'round': 4}, {'country': 'Saudi Arabia', 'racePosition': '17', 'qualiPosition': '17', 'round': 5}, {'country': 'USA', 'racePosition': '20', 'qualiPosition': '14', 'round': 6}]",-0.19,-1.94,Unknown,#808080
gasly,10,GAS,Pierre,Gasly,1996-02-07,French,http://en.wikipedia.org/wiki/Pierre_Gasly,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/P/PIEGAS01_Pierre_Gasly/piegas01.png.transform/1col/image.png,0.0,1.0,5.0,456.0,170.0,"['1&11', '2&15', '3&16', '4&11', '5&11', '6&12', '7&13', '8&14', '9&14', '10&14', '11&16', '12&13', '13&12', '14&14', '15&14', '16&14']","[{'country': 'Australia', 'racePosition': '11', 'qualiPosition': '9', 'round': 1}, {'country': 'China', 'racePosition': '20', 'qualiPosition': '16', 'round': 2}, {'country': 'Japan', 'racePosition': '13', 'qualiPosition': '11', 'round': 3}, {'country': 'Bahrain', 'racePosition': '7', 'qualiPosition': '5', 'round': 4}, {'country': 'Saudi Arabia', 'racePosition': '20', 'qualiPosition': '9', 'round': 5}, {'country': 'USA', 'racePosition': '13', 'qualiPosition': '18', 'round': 6}, {'country': 'Italy', 'racePosition': '13', 'qualiPosition': '10', 'round': 7}, {'country': 'Monaco', 'racePosition': '20', 'qualiPosition': '18', 'round': 8}, {'country': 'Spain', 'racePosition': '8', 'qualiPosition': '8', 'round': 9}, {'country': 'Canada', 'racePosition': '15', 'qualiPosition': '20', 'round': 10}, {'country': 'Austria', 'racePosition': '13', 'qualiPosition': '10', 'round': 11}, {'country': 'UK', 'racePosition': '6', 'qualiPosition': '10', 'round': 12}, {'country': 'Belgium', 'racePosition': '10', 'qualiPosition': '13', 'round': 13}, {'country': 'Hungary', 'racePosition': '19', 'qualiPosition': '17', 'round': 14}, {'country': 'Netherlands', 'racePosition': '17', 'qualiPosition': '14', 'round': 15}, {'country': 'Italy', 'racePosition': '16', 'qualiPosition': '19', 'round': 16}]",2.2,-0.37,Alpine,00A1E8
hadjar,6,HAD,Isack,Hadjar,2004-09-28,French,https://en.wikipedia.org/wiki/Isack_Hadjar,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/I/ISAHAD01_Isack_Hadjar/isahad01.png.transform/1col/image.png,0.0,0.0,1.0,38.0,16.0,"['1&20', '2&16', '3&13', '4&15', '5&14', '6&16', '7&14', '8&10', '9&9', '10&10', '11&11', '12&11', '13&11', '14&13', '15&10', '16&9']","[{'country': 'Australia', 'racePosition': '20', 'qualiPosition': '11', 'round': 1}, {'country': 'China', 'racePosition': '11', 'qualiPosition': '7', 'round': 2}, {'country': 'Japan', 'racePosition': '8', 'qualiPosition': '7', 'round': 3}, {'country': 'Bahrain', 'racePosition': '13', 'qualiPosition': '12', 'round': 4}, {'country': 'Saudi Arabia', 'racePosition': '10', 'qualiPosition': '14', 'round': 5}, {'country': 'USA', 'racePosition': '11', 'qualiPosition': '11', 'round': 6}, {'country': 'Italy', 'racePosition': '9', 'qualiPosition': '9', 'round': 7}, {'country': 'Monaco', 'racePosition': '6', 'qualiPosition': '6', 'round': 8}, {'country': 'Spain', 'racePosition': '7', 'qualiPosition': '9', 'round': 9}, {'country': 'Canada', 'racePosition': '16', 'qualiPosition': '9', 'round': 10}, {'country': 'Austria', 'racePosition': '12', 'qualiPosition': '13', 'round': 11}, {'country': 'UK', 'racePosition': '20', 'qualiPosition': '13', 'round': 12}, {'country': 'Belgium', 'racePosition': '20', 'qualiPosition': '8', 'round': 13}, {'country': 'Hungary', 'racePosition': '11', 'qualiPosition': '10', 'round': 14}, {'country': 'Netherlands', 'racePosition': '3', 'qualiPosition': '4', 'round': 15}, {'country': 'Italy', 'racePosition': '10', 'qualiPosition': '16', 'round': 16}]",2.08,-0.37,Racing Bulls,6C98FF
hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,http://en.wikipedia.org/wiki/Lewis_Hamilton,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/L/LEWHAM01_Lewis_Hamilton/lewham01.png.transform/1col/image.png,7.0,105.0,202.0,4979.5,372.0,"['1&10', '2&9', '3&8', '4&7', '5&7', '6&7', '7&6', '8&6', '9&6', '10&6', '11&6', '12&6', '13&6', '14&6', '15&6', '16&6']","[{'country': 'Australia', 'racePosition': '10', 'qualiPosition': '8', 'round': 1}, {'country': 'China', 'racePosition': '20', 'qualiPosition': '5', 'round': 2}, {'country': 'Japan', 'racePosition': '7', 'qualiPosition': '8', 'round': 3}, {'country': 'Bahrain', 'racePosition': '5', 'qualiPosition': '9', 'round': 4}, {'country': 'Saudi Arabia', 'racePosition': '7', 'qualiPosition': '7', 'round': 5}, {'country': 'USA', 'racePosition': '8', 'qualiPosition': '12', 'round': 6}, {'country': 'Italy', 'racePosition': '4', 'qualiPosition': '12', 'round': 7}, {'country': 'Monaco', 'racePosition': '5', 'qualiPosition': '4', 'round': 8}, {'country': 'Spain', 'racePosition': '6', 'qualiPosition': '5', 'round': 9}, {'country': 'Canada', 'racePosition': '6', 'qualiPosition': '5', 'round': 10}, {'country': 'Austria', 'racePosition': '4', 'qualiPosition': '4', 'round': 11}, {'country': 'UK', 'racePosition': '4', 'qualiPosition': '5', 'round': 12}, {'country': 'Belgium', 'racePosition': '7', 'qualiPosition': '16', 'round': 13}, {'country': 'Hungary', 'racePosition': '12', 'qualiPosition': '12', 'round': 14}, {'country': 'Netherlands', 'racePosition': '20', 'qualiPosition': '7', 'round': 15}, {'country': 'Italy', 'racePosition': '6', 'qualiPosition': '5', 'round': 16}]",-0.29,-0.46,Ferrari,ED1131
