driverId,driverNumber,code,firstName,lastName,dateOfBirth,nationality,url,Headshot,Championships,Wins,Podiums,Points,Entries,AllPositions,SeasonResults,QualifyingPerformance,RacePace,TeamName,TeamColour
albon,23,ALB,Alexander,Albon,1996-03-23,Thai,http://en.wikipedia.org/wiki/Alexander_Albon,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/A/ALEALB01_Alexander_Albon/alealb01.png.transform/1col/image.png,0.0,0.0,2.0,313.0,126.0,"['1&5&10', '2&6&16', '3&7&18', '4&8&18', '5&8&20', '6&8&30', '7&8&40', '8&8&42', '9&8&42', '10&8&42', '11&8&42', '12&8&46', '13&8&54', '14&8&54', '15&8&64', '16&7&70', '17&8&70', '18&8&70', '19&8&73', '20&8&73']","[{'country': 'Australia', 'racePosition': '5', 'qualiPosition': '6', 'round': 1}, {'country': 'China', 'racePosition': '7', 'qualiPosition': '10', 'round': 2}, {'country': 'Japan', 'racePosition': '9', 'qualiPosition': '9', 'round': 3}, {'country': 'Bahrain', 'racePosition': '12', 'qualiPosition': '15', 'round': 4}, {'country': 'Saudi Arabia', 'racePosition': '9', 'qualiPosition': '11', 'round': 5}, {'country': 'USA', 'racePosition': '5', 'qualiPosition': '7', 'round': 6}, {'country': 'Italy', 'racePosition': '5', 'qualiPosition': '7', 'round': 7}, {'country': 'Monaco', 'racePosition': '9', 'qualiPosition': '10', 'round': 8}, {'country': 'Spain', 'racePosition': '20', 'qualiPosition': '11', 'round': 9}, {'country': 'Canada', 'racePosition': '20', 'qualiPosition': '10', 'round': 10}, {'country': 'Austria', 'racePosition': '20', 'qualiPosition': '12', 'round': 11}, {'country': 'UK', 'racePosition': '8', 'qualiPosition': '14', 'round': 12}, {'country': 'Belgium', 'racePosition': '6', 'qualiPosition': '5', 'round': 13}, {'country': 'Hungary', 'racePosition': '15', 'qualiPosition': '20', 'round': 14}, {'country': 'Netherlands', 'racePosition': '5', 'qualiPosition': '15', 'round': 15}, {'country': 'Italy', 'racePosition': '7', 'qualiPosition': '14', 'round': 16}, {'country': 'Azerbaijan', 'racePosition': '13', 'qualiPosition': '19', 'round': 17}, {'country': 'Singapore', 'racePosition': '14', 'qualiPosition': '19', 'round': 18}]",-1.49,-1.04,Williams,1868DB
alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish,http://en.wikipedia.org/wiki/Fernando_Alonso,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/F/FERALO01_Fernando_Alonso/feralo01.png.transform/1col/image.png,2.0,32.0,106.0,2374.0,424.0,"['1&17&0', '2&20&0', '3&17&0', '4&17&0', '5&17&0', '6&17&0', '7&17&0', '8&18&0', '9&18&2', '10&16&8', '11&13&14', '12&14&16', '13&15&16', '14&11&26', '15&12&30', '16&12&30', '17&14&30', '18&11&36', '19&12&37', '20&12&37']","[{'country': 'Australia', 'racePosition': '20', 'qualiPosition': '12', 'round': 1}, {'country': 'China', 'racePosition': '20', 'qualiPosition': '13', 'round': 2}, {'country': 'Japan', 'racePosition': '11', 'qualiPosition': '13', 'round': 3}, {'country': 'Bahrain', 'racePosition': '15', 'qualiPosition': '13', 'round': 4}, {'country': 'Saudi Arabia', 'racePosition': '11', 'qualiPosition': '13', 'round': 5}, {'country': 'USA', 'racePosition': '15', 'qualiPosition': '17', 'round': 6}, {'country': 'Italy', 'racePosition': '11', 'qualiPosition': '5', 'round': 7}, {'country': 'Monaco', 'racePosition': '20', 'qualiPosition': '7', 'round': 8}, {'country': 'Spain', 'racePosition': '9', 'qualiPosition': '10', 'round': 9}, {'country': 'Canada', 'racePosition': '7', 'qualiPosition': '6', 'round': 10}, {'country': 'Austria', 'racePosition': '7', 'qualiPosition': '11', 'round': 11}, {'country': 'UK', 'racePosition': '9', 'qualiPosition': '9', 'round': 12}, {'country': 'Belgium', 'racePosition': '17', 'qualiPosition': '19', 'round': 13}, {'country': 'Hungary', 'racePosition': '5', 'qualiPosition': '5', 'round': 14}, {'country': 'Netherlands', 'racePosition': '8', 'qualiPosition': '10', 'round': 15}, {'country': 'Italy', 'racePosition': '20', 'qualiPosition': '9', 'round': 16}, {'country': 'Azerbaijan', 'racePosition': '15', 'qualiPosition': '11', 'round': 17}, {'country': 'Singapore', 'racePosition': '7', 'qualiPosition': '10', 'round': 18}]",1.19,-0.95,Aston Martin,229971
antonelli,12,ANT,Andrea Kimi,Antonelli,2006-08-25,Italian,https://en.wikipedia.org/wiki/Andrea_Kimi_Antonelli,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/A/ANDANT01_Andrea%20Kimi_Antonelli/andant01.png.transform/1col/image.png,0.0,0.0,1.0,97.0,20.0,"['1&4&12', '2&5&22', '3&5&30', '4&6&30', '5&6&38', '6&6&48', '7&7&48', '8&7&48', '9&7&48', '10&7&63', '11&7&63', '12&7&63', '13&7&63', '14&7&64', '15&7&64', '16&8&66', '17&7&78', '18&7&88', '19&7&89', '20&7&97']","[{'country': 'Australia', 'racePosition': '4', 'qualiPosition': '16', 'round': 1}, {'country': 'China', 'racePosition': '6', 'qualiPosition': '8', 'round': 2}, {'country': 'Japan', 'racePosition': '6', 'qualiPosition': '6', 'round': 3}, {'country': 'Bahrain', 'racePosition': '11', 'qualiPosition': '4', 'round': 4}, {'country': 'Saudi Arabia', 'racePosition': '6', 'qualiPosition': '5', 'round': 5}, {'country': 'USA', 'racePosition': '6', 'qualiPosition': '3', 'round': 6}, {'country': 'Italy', 'racePosition': '20', 'qualiPosition': '13', 'round': 7}, {'country': 'Monaco', 'racePosition': '18', 'qualiPosition': '15', 'round': 8}, {'country': 'Spain', 'racePosition': '20', 'qualiPosition': '6', 'round': 9}, {'country': 'Canada', 'racePosition': '3', 'qualiPosition': '4', 'round': 10}, {'country': 'Austria', 'racePosition': '20', 'qualiPosition': '9', 'round': 11}, {'country': 'UK', 'racePosition': '20', 'qualiPosition': '7', 'round': 12}, {'country': 'Belgium', 'racePosition': '16', 'qualiPosition': '18', 'round': 13}, {'country': 'Hungary', 'racePosition': '10', 'qualiPosition': '15', 'round': 14}, {'country': 'Netherlands', 'racePosition': '16', 'qualiPosition': '11', 'round': 15}, {'country': 'Italy', 'racePosition': '9', 'qualiPosition': '7', 'round': 16}, {'country': 'Azerbaijan', 'racePosition': '4', 'qualiPosition': '4', 'round': 17}, {'country': 'Singapore', 'racePosition': '5', 'qualiPosition': '4', 'round': 18}]",-1.62,-3.05,Mercedes,00D7B6
bearman,87,BEA,Oliver,Bearman,2005-05-08,British,http://en.wikipedia.org/wiki/Oliver_Bearman,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/O/OLIBEA01_Oliver_Bearman/olibea01.png.transform/1col/image.png,0.0,0.0,0.0,39.0,23.0,"['1&14&0', '2&12&4', '3&12&5', '4&13&6', '5&13&6', '6&15&6', '7&16&6', '8&16&6', '9&16&6', '10&17&6', '11&18&6', '12&18&6', '13&18&8', '14&19&8', '15&16&16', '16&17&16', '17&19&16', '18&19&18', '19&18&20', '20&13&32']","[{'country': 'Australia', 'racePosition': '14', 'qualiPosition': '20', 'round': 1}, {'country': 'China', 'racePosition': '8', 'qualiPosition': '17', 'round': 2}, {'country': 'Japan', 'racePosition': '10', 'qualiPosition': '10', 'round': 3}, {'country': 'Bahrain', 'racePosition': '10', 'qualiPosition': '20', 'round': 4}, {'country': 'Saudi Arabia', 'racePosition': '13', 'qualiPosition': '15', 'round': 5}, {'country': 'USA', 'racePosition': '20', 'qualiPosition': '20', 'round': 6}, {'country': 'Italy', 'racePosition': '17', 'qualiPosition': '19', 'round': 7}, {'country': 'Monaco', 'racePosition': '12', 'qualiPosition': '17', 'round': 8}, {'country': 'Spain', 'racePosition': '17', 'qualiPosition': '15', 'round': 9}, {'country': 'Canada', 'racePosition': '11', 'qualiPosition': '14', 'round': 10}, {'country': 'Austria', 'racePosition': '11', 'qualiPosition': '15', 'round': 11}, {'country': 'UK', 'racePosition': '11', 'qualiPosition': '8', 'round': 12}, {'country': 'Belgium', 'racePosition': '11', 'qualiPosition': '12', 'round': 13}, {'country': 'Hungary', 'racePosition': '20', 'qualiPosition': '11', 'round': 14}, {'country': 'Netherlands', 'racePosition': '6', 'qualiPosition': '19', 'round': 15}, {'country': 'Italy', 'racePosition': '12', 'qualiPosition': '11', 'round': 16}, {'country': 'Azerbaijan', 'racePosition': '12', 'qualiPosition': '15', 'round': 17}, {'country': 'Singapore', 'racePosition': '9', 'qualiPosition': '9', 'round': 18}]",-1.04,-0.98,Haas F1 Team,9C9FA2
bortoleto,5,BOR,Gabriel,Bortoleto,2004-10-14,Brazilian,https://en.wikipedia.org/wiki/Gabriel_Bortoleto,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/G/GABBOR01_Gabriel_Bortoleto/gabbor01.png.transform/1col/image.png,0.0,0.0,0.0,19.0,20.0,"['1&16&0', '2&19&0', '3&20&0', '4&20&0', '5&20&0', '6&20&0', '7&20&0', '8&21&0', '9&19&0', '10&19&0', '11&19&4', '12&19&4', '13&19&6', '14&17&14', '15&18&14', '16&16&18', '17&18&18', '18&18&18', '19&19&18', '20&19&19']","[{'country': 'Australia', 'racePosition': '20', 'qualiPosition': '15', 'round': 1}, {'country': 'China', 'racePosition': '14', 'qualiPosition': '19', 'round': 2}, {'country': 'Japan', 'racePosition': '19', 'qualiPosition': '17', 'round': 3}, {'country': 'Bahrain', 'racePosition': '18', 'qualiPosition': '18', 'round': 4}, {'country': 'Saudi Arabia', 'racePosition': '18', 'qualiPosition': '20', 'round': 5}, {'country': 'USA', 'racePosition': '20', 'qualiPosition': '13', 'round': 6}, {'country': 'Italy', 'racePosition': '18', 'qualiPosition': '14', 'round': 7}, {'country': 'Monaco', 'racePosition': '14', 'qualiPosition': '16', 'round': 8}, {'country': 'Spain', 'racePosition': '12', 'qualiPosition': '12', 'round': 9}, {'country': 'Canada', 'racePosition': '14', 'qualiPosition': '16', 'round': 10}, {'country': 'Austria', 'racePosition': '8', 'qualiPosition': '8', 'round': 11}, {'country': 'UK', 'racePosition': '20', 'qualiPosition': '17', 'round': 12}, {'country': 'Belgium', 'racePosition': '9', 'qualiPosition': '10', 'round': 13}, {'country': 'Hungary', 'racePosition': '6', 'qualiPosition': '7', 'round': 14}, {'country': 'Netherlands', 'racePosition': '15', 'qualiPosition': '13', 'round': 15}, {'country': 'Italy', 'racePosition': '8', 'qualiPosition': '8', 'round': 16}, {'country': 'Azerbaijan', 'racePosition': '11', 'qualiPosition': '13', 'round': 17}, {'country': 'Singapore', 'racePosition': '17', 'qualiPosition': '14', 'round': 18}]",0.03,-1.43,Kick Sauber,01C00E
colapinto,43,COL,Franco,Colapinto,2003-05-27,Argentine,http://en.wikipedia.org/wiki/Franco_Colapinto,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/,0.0,0.0,0.0,5.0,23.0,"['7&21&0', '8&20&0', '9&21&0', '10&20&0', '11&20&0', '12&20&0', '13&20&0', '14&20&0', '15&20&0', '16&20&0', '17&20&0', '18&20&0', '19&20&0', '20&20&0']","[{'country': 'Italy', 'racePosition': '16', 'qualiPosition': '15', 'round': 7}, {'country': 'Monaco', 'racePosition': '13', 'qualiPosition': '20', 'round': 8}, {'country': 'Spain', 'racePosition': '15', 'qualiPosition': '19', 'round': 9}, {'country': 'Canada', 'racePosition': '13', 'qualiPosition': '12', 'round': 10}, {'country': 'Austria', 'racePosition': '15', 'qualiPosition': '14', 'round': 11}, {'country': 'UK', 'racePosition': '20', 'qualiPosition': '20', 'round': 12}, {'country': 'Belgium', 'racePosition': '19', 'qualiPosition': '17', 'round': 13}, {'country': 'Hungary', 'racePosition': '18', 'qualiPosition': '14', 'round': 14}, {'country': 'Netherlands', 'racePosition': '11', 'qualiPosition': '16', 'round': 15}, {'country': 'Italy', 'racePosition': '17', 'qualiPosition': '18', 'round': 16}, {'country': 'Azerbaijan', 'racePosition': '19', 'qualiPosition': '16', 'round': 17}, {'country': 'Singapore', 'racePosition': '16', 'qualiPosition': '16', 'round': 18}]",-0.36,-1.68,Alpine,00A1E8
doohan,7,DOO,Jack,Doohan,2003-01-20,Australian,http://en.wikipedia.org/wiki/Jack_Doohan,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/J/JACDOO01_Jack_Doohan/jacdoo01.png.transform/1col/image.png,0.0,0.0,0.0,0.0,7.0,"['1&19&0', '2&18&0', '3&19&0', '4&19&0', '5&19&0', '6&19&0', '7&19&0', '8&19&0', '9&20&0', '10&21&0', '11&21&0', '12&21&0', '13&21&0', '14&21&0', '15&21&0', '16&21&0', '17&21&0', '18&21&0', '19&21&0', '20&21&0']","[{'country': 'Australia', 'racePosition': '20', 'qualiPosition': '14', 'round': 1}, {'country': 'China', 'racePosition': '13', 'qualiPosition': '18', 'round': 2}, {'country': 'Japan', 'racePosition': '15', 'qualiPosition': '19', 'round': 3}, {'country': 'Bahrain', 'racePosition': '14', 'qualiPosition': '11', 'round': 4}, {'country': 'Saudi Arabia', 'racePosition': '17', 'qualiPosition': '17', 'round': 5}, {'country': 'USA', 'racePosition': '20', 'qualiPosition': '14', 'round': 6}]",-0.19,-1.94,Unknown,808080
gasly,10,GAS,Pierre,Gasly,1996-02-07,French,http://en.wikipedia.org/wiki/Pierre_Gasly,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/P/PIEGAS01_Pierre_Gasly/piegas01.png.transform/1col/image.png,0.0,1.0,5.0,456.0,174.0,"['1&11&0', '2&15&0', '3&16&0', '4&11&6', '5&11&6', '6&12&7', '7&13&7', '8&14&7', '9&14&11', '10&14&11', '11&16&11', '12&13&19', '13&12&20', '14&14&20', '15&14&20', '16&14&20', '17&16&20', '18&16&20', '19&17&20', '20&18&20']","[{'country': 'Australia', 'racePosition': '11', 'qualiPosition': '9', 'round': 1}, {'country': 'China', 'racePosition': '20', 'qualiPosition': '16', 'round': 2}, {'country': 'Japan', 'racePosition': '13', 'qualiPosition': '11', 'round': 3}, {'country': 'Bahrain', 'racePosition': '7', 'qualiPosition': '5', 'round': 4}, {'country': 'Saudi Arabia', 'racePosition': '20', 'qualiPosition': '9', 'round': 5}, {'country': 'USA', 'racePosition': '13', 'qualiPosition': '18', 'round': 6}, {'country': 'Italy', 'racePosition': '13', 'qualiPosition': '10', 'round': 7}, {'country': 'Monaco', 'racePosition': '20', 'qualiPosition': '18', 'round': 8}, {'country': 'Spain', 'racePosition': '8', 'qualiPosition': '8', 'round': 9}, {'country': 'Canada', 'racePosition': '15', 'qualiPosition': '20', 'round': 10}, {'country': 'Austria', 'racePosition': '13', 'qualiPosition': '10', 'round': 11}, {'country': 'UK', 'racePosition': '6', 'qualiPosition': '10', 'round': 12}, {'country': 'Belgium', 'racePosition': '10', 'qualiPosition': '13', 'round': 13}, {'country': 'Hungary', 'racePosition': '19', 'qualiPosition': '17', 'round': 14}, {'country': 'Netherlands', 'racePosition': '17', 'qualiPosition': '14', 'round': 15}, {'country': 'Italy', 'racePosition': '16', 'qualiPosition': '19', 'round': 16}, {'country': 'Azerbaijan', 'racePosition': '18', 'qualiPosition': '18', 'round': 17}, {'country': 'Singapore', 'racePosition': '19', 'qualiPosition': '18', 'round': 18}]",1.75,-0.72,Alpine,00A1E8
hadjar,6,HAD,Isack,Hadjar,2004-09-28,French,https://en.wikipedia.org/wiki/Isack_Hadjar,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/I/ISAHAD01_Isack_Hadjar/isahad01.png.transform/1col/image.png,0.0,0.0,1.0,39.0,20.0,"['1&20&0', '2&16&0', '3&13&4', '4&15&4', '5&14&5', '6&16&5', '7&14&7', '8&10&15', '9&9&21', '10&10&21', '11&11&21', '12&11&21', '13&11&22', '14&13&22', '15&10&37', '16&9&38', '17&9&39', '18&9&39', '19&10&39', '20&10&39']","[{'country': 'Australia', 'racePosition': '20', 'qualiPosition': '11', 'round': 1}, {'country': 'China', 'racePosition': '11', 'qualiPosition': '7', 'round': 2}, {'country': 'Japan', 'racePosition': '8', 'qualiPosition': '7', 'round': 3}, {'country': 'Bahrain', 'racePosition': '13', 'qualiPosition': '12', 'round': 4}, {'country': 'Saudi Arabia', 'racePosition': '10', 'qualiPosition': '14', 'round': 5}, {'country': 'USA', 'racePosition': '11', 'qualiPosition': '11', 'round': 6}, {'country': 'Italy', 'racePosition': '9', 'qualiPosition': '9', 'round': 7}, {'country': 'Monaco', 'racePosition': '6', 'qualiPosition': '6', 'round': 8}, {'country': 'Spain', 'racePosition': '7', 'qualiPosition': '9', 'round': 9}, {'country': 'Canada', 'racePosition': '16', 'qualiPosition': '9', 'round': 10}, {'country': 'Austria', 'racePosition': '12', 'qualiPosition': '13', 'round': 11}, {'country': 'UK', 'racePosition': '20', 'qualiPosition': '13', 'round': 12}, {'country': 'Belgium', 'racePosition': '20', 'qualiPosition': '8', 'round': 13}, {'country': 'Hungary', 'racePosition': '11', 'qualiPosition': '10', 'round': 14}, {'country': 'Netherlands', 'racePosition': '3', 'qualiPosition': '4', 'round': 15}, {'country': 'Italy', 'racePosition': '10', 'qualiPosition': '16', 'round': 16}, {'country': 'Azerbaijan', 'racePosition': '10', 'qualiPosition': '8', 'round': 17}, {'country': 'Singapore', 'racePosition': '11', 'qualiPosition': '8', 'round': 18}]",1.96,-0.44,Racing Bulls,6C98FF
hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,http://en.wikipedia.org/wiki/Lewis_Hamilton,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/L/LEWHAM01_Lewis_Hamilton/lewham01.png.transform/1col/image.png,7.0,105.0,202.0,5008.5,376.0,"['1&10&1', '2&9&9', '3&8&15', '4&7&25', '5&7&31', '6&7&41', '7&6&53', '8&6&63', '9&6&71', '10&6&79', '11&6&91', '12&6&103', '13&6&109', '14&6&109', '15&6&109', '16&6&117', '17&6&121', '18&6&125', '19&6&142', '20&6&146']","[{'country': 'Australia', 'racePosition': '10', 'qualiPosition': '8', 'round': 1}, {'country': 'China', 'racePosition': '20', 'qualiPosition': '5', 'round': 2}, {'country': 'Japan', 'racePosition': '7', 'qualiPosition': '8', 'round': 3}, {'country': 'Bahrain', 'racePosition': '5', 'qualiPosition': '9', 'round': 4}, {'country': 'Saudi Arabia', 'racePosition': '7', 'qualiPosition': '7', 'round': 5}, {'country': 'USA', 'racePosition': '8', 'qualiPosition': '12', 'round': 6}, {'country': 'Italy', 'racePosition': '4', 'qualiPosition': '12', 'round': 7}, {'country': 'Monaco', 'racePosition': '5', 'qualiPosition': '4', 'round': 8}, {'country': 'Spain', 'racePosition': '6', 'qualiPosition': '5', 'round': 9}, {'country': 'Canada', 'racePosition': '6', 'qualiPosition': '5', 'round': 10}, {'country': 'Austria', 'racePosition': '4', 'qualiPosition': '4', 'round': 11}, {'country': 'UK', 'racePosition': '4', 'qualiPosition': '5', 'round': 12}, {'country': 'Belgium', 'racePosition': '7', 'qualiPosition': '16', 'round': 13}, {'country': 'Hungary', 'racePosition': '12', 'qualiPosition': '12', 'round': 14}, {'country': 'Netherlands', 'racePosition': '20', 'qualiPosition': '7', 'round': 15}, {'country': 'Italy', 'racePosition': '6', 'qualiPosition': '5', 'round': 16}, {'country': 'Azerbaijan', 'racePosition': '8', 'qualiPosition': '12', 'round': 17}, {'country': 'Singapore', 'racePosition': '8', 'qualiPosition': '6', 'round': 18}]",-0.48,-0.54,Ferrari,ED1131
